anno;cantone;CPA_2_1_descr;misura;statistica;valore
2016;Svizzera;60 Servizi di programmazione e di emissione radiofonica e televisiva;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;60 Servizi di programmazione e di emissione radiofonica e televisiva;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;61 Servizi di telecomunicazione;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;61 Servizi di telecomunicazione;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;61 Servizi di telecomunicazione;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;61 Servizi di telecomunicazione;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;62 Programmazione informatica, consulenze e servizi connessi;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;62 Programmazione informatica, consulenze e servizi connessi;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;62 Programmazione informatica, consulenze e servizi connessi;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;62 Programmazione informatica, consulenze e servizi connessi;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;63 Servizi d'informazione;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;63 Servizi d'informazione;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;63 Servizi d'informazione;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;63 Servizi d'informazione;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;64 Servizi finanziari (escluse le assicurazioni e i fondi pensione);Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;64 Servizi finanziari (escluse le assicurazioni e i fondi pensione);Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;64 Servizi finanziari (escluse le assicurazioni e i fondi pensione);Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;64 Servizi finanziari (escluse le assicurazioni e i fondi pensione);Tot_complessivo_in_fr.;importazioni;0
